id	name	domain	category	rank_in_category	why_in_list	sign_in_url	task_flow_docs	doc_url_1	doc_url_2	doc_url_3
googledrive	Google Drive	drive.google.com	documents_storage	2	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: drive.google.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Google Drive': popularity #12 of 9,716, zap_usage_count 73,791 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://drive.google.com/drive/?dmr=1	deep	https://support.google.com/drive/	https://support.google.com/drive/answer/15967488?visit_id=639248557965237097-4193257879&rd=1	https://support.google.com/drive/answer/2375114?hl=en&ref_topic=14950478
googledocs	Google Docs	docs.google.com	documents_storage	3	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: docs.google.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Google Docs': popularity #30 of 9,716, zap_usage_count 23,009 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://docs.google.com/	deep	https://support.google.com/docs/	https://support.google.com/docs/answer/49114?hl=en&co=GENIE.Platform%3DDesktop	
dropbox	Dropbox	dropbox.com	documents_storage	4	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: www.dropbox.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Dropbox': popularity #68 of 9,716, zap_usage_count 9,035 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 140 for dropbox.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://www.dropbox.com/login	deep	https://help.dropbox.com/	https://help.dropbox.com/security/password-reset	https://help.dropbox.com/billing/change-information
google_slides	Google Slides	slides.google.com	documents_storage	5	Chrome UX Report 2026-08: docs.google.com in the top 1,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Google Slides': popularity #151 of 9,716, zap_usage_count 2,234 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://docs.google.com/presentation/	deep	https://support.google.com/docs/	https://support.google.com/docs/answer/1696787?hl=en&co=GENIE.Platform%3DDesktop	
sharepoint	SharePoint	sharepoint.com	documents_storage	6	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: pwcgbr.sharepoint.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Microsoft SharePoint': popularity #116 of 9,716, zap_usage_count 3,483 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 43 for sharepoint.com (list 38KVL, 2026-09-11)	https://www.office.com/	deep	https://support.microsoft.com/en-us/sharepoint/	https://support.microsoft.com/en-us/sharepoint/sharepoint-sharing-and-permissions/share-sharepoint-files-or-folders	
box	Box	box.com	documents_storage	7	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: account.box.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Box': popularity #242 of 9,716, zap_usage_count 1,065 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 768 for box.com (list 38KVL, 2026-09-11)	https://account.box.com/login	deep	https://docs.box.com/en	https://docs.box.com/en/box-admin-tools/box-security/configuring-a-firewall-for-box-applications-and-services	https://docs.box.com/en/box-admin-tools/box-security/configuring-multi-factor-authentication
microsoft_excel	Microsoft Excel for the web	excel.cloud.microsoft	documents_storage	8	Chrome UX Report 2026-08: excel.cloud.microsoft in the top 10,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Microsoft Excel': popularity #52 of 9,716, zap_usage_count 12,587 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 45 for cloud.microsoft (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://www.office.com/launch/excel	deep	https://support.microsoft.com/en-us/excel/	https://support.microsoft.com/en-us/excel/import-and-analyze-data	https://support.microsoft.com/en-us/excel/get-started/create-a-drop-down-list
docusign	Docusign	docusign.com	documents_storage	9	Chrome UX Report 2026-08: account.docusign.com in the top 5,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Docusign': popularity #103 of 9,716, zap_usage_count 4,569 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 3,226 for docusign.com (list 38KVL, 2026-09-11)	https://app.docusign.com/login	shallow			
onedrive	OneDrive	onedrive.live.com	documents_storage	10	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: onedrive.live.com in the top 5,000 origins (github.com/zakird/crux-top-lists); Zapier app 'OneDrive': popularity #101 of 9,716, zap_usage_count 4,577 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 22 for live.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://www.office.com/launch/onedrive	deep	https://support.microsoft.com/en-us/onedrive/	https://support.microsoft.com/en-us/onedrive/share-files-and-folders-in-microsoft-onedrive	https://support.microsoft.com/en-us/onedrive/upload-photos-and-files-to-onedrive
evernote	Evernote	evernote.com	documents_storage	11	Chrome UX Report 2026-08: evernote.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Evernote': popularity #213 of 9,716, zap_usage_count 1,273 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 2,127 for evernote.com (list 38KVL, 2026-09-11)	https://www.evernote.com/Login.action	deep	https://help.evernote.com/hc/en-us	https://help.evernote.com/hc/en-us/articles/208313338-How-to-Change-Your-Evernote-Account-Login-Email-Address	https://help.evernote.com/hc/en-us/articles/208313478-Delete-a-note
adobe_acrobat	Adobe Acrobat online	acrobat.adobe.com	documents_storage	12	Chrome UX Report 2026-08: acrobat.adobe.com in the top 5,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Adobe Acrobat Sign': popularity #1063 of 9,716, zap_usage_count 103 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 69 for adobe.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://acrobat.adobe.com/	deep	https://helpx.adobe.com/acrobat/web.html	https://helpx.adobe.com/acrobat/web/get-set-up/preferences-settings/manage-acrobat-pdf-pack.html	https://helpx.adobe.com/acrobat/web/create-pdfs/create-pdfs-with-templates/create-agreement-templates.html
wetransfer	WeTransfer	wetransfer.com	documents_storage	13	Chrome UX Report 2026-08: wetransfer.com in the top 5,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 2,514 for wetransfer.com (list 38KVL, 2026-09-11)	https://wetransfer.com/signin	deep	https://wetransfer.com/help-center	https://wetransfer.com/help-center/how-to/send-a-transfer	https://wetransfer.com/help-center/how-to/upload-to-file-request
microsoft_onenote	Microsoft OneNote	onenote.com	documents_storage	14	Chrome UX Report 2026-08: no matching origin in the top 1,000,000; Zapier app 'Microsoft OneNote': popularity #168 of 9,716, zap_usage_count 1,842 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 3,598 for onenote.com (list 38KVL, 2026-09-11)	https://onenote.cloud.microsoft/	deep	https://support.microsoft.com/en-us/onenote/	https://support.microsoft.com/en-us/onenote/onenote-help-and-learning/how-to-share-a-onenote-notebook	https://support.microsoft.com/en-us/onenote/onenote-help-and-learning/create-a-new-notebook
microsoft_word	Microsoft Word for the web	word.cloud.microsoft	documents_storage	15	Chrome UX Report 2026-08: word.cloud.microsoft in the top 5,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Microsoft Word': popularity #2969 of 9,716, zap_usage_count 12 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 45 for cloud.microsoft (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://word.cloud.microsoft	deep	https://support.microsoft.com/en-us/word/	https://support.microsoft.com/en-us/word/change-the-default-font-in-word	https://support.microsoft.com/en-us/word/add-a-chart-to-your-document-in-word
egnyte	Egnyte	egnyte.com	documents_storage	16	Chrome UX Report 2026-08: us-partner-integrations.egnyte.com in the top 1,000,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Egnyte': popularity #1018 of 9,716, zap_usage_count 112 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 3,020 for egnyte.com (list 38KVL, 2026-09-11)	https://www.egnyte.com/login	deep	https://helpdesk.egnyte.com/hc/en-us	https://helpdesk.egnyte.com/hc/en-us/articles/201637084-How-Do-I-See-How-Much-Space-I-Have-Used	https://helpdesk.egnyte.com/hc/en-us/articles/201637104-Share-with-File-and-Folder-Links-in-the-WebUI
pandadoc	PandaDoc	pandadoc.com	documents_storage	17	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: app.pandadoc.com in the top 500,000 origins (github.com/zakird/crux-top-lists); Zapier app 'PandaDoc': popularity #97 of 9,716, zap_usage_count 4,677 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 14,250 for pandadoc.com (list 38KVL, 2026-09-11)	https://app.pandadoc.com/login/?lng=en-US&cid=fdgdfgdf	deep	https://support.pandadoc.com/en	https://support.pandadoc.com/en/articles/11197006-create-a-document-new-experience	https://support.pandadoc.com/en/articles/9714673-send-and-sign-a-document-new-experience
signnow	signNow	signnow.com	documents_storage	18	Chrome UX Report 2026-08: app.signnow.com in the top 100,000 origins (github.com/zakird/crux-top-lists); Zapier app 'SignNow': popularity #250 of 9,716, zap_usage_count 1,008 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 31,445 for signnow.com (list 38KVL, 2026-09-11)	https://app.signnow.com	deep	https://helpcenter.signnow.com/en/	https://helpcenter.signnow.com/en/articles/13149477-send-a-document-for-signature	https://helpcenter.signnow.com/en/articles/13149501-add-fillable-fields-to-a-document
coda	Coda (now Superhuman Docs)	coda.io	documents_storage	19	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: coda.io in the top 500,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Superhuman Docs': popularity #290 of 9,716, zap_usage_count 845 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 9,000 for coda.io (list 38KVL, 2026-09-11). coda.io's own banner reads 'Coda is now Superhuman Docs', which is the name Zapier lists it under.	https://coda.io/login	deep	https://coda.io/resources/guides	https://coda.io/resources/guides/how-to-get-started-with-coda-ai	https://coda.io/resources/guides/too-many-tables
docsend	DocSend	docsend.com	documents_storage	20	Chrome UX Report 2026-08: docsend.com in the top 500,000 origins (github.com/zakird/crux-top-lists); Zapier app 'DocSend': popularity #385 of 9,716, zap_usage_count 495 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 17,563 for docsend.com (list 38KVL, 2026-09-11)	https://docsend.com/login	deep	https://help.dropbox.com/docsend	https://help.dropbox.com/share/dropbox-docsend-share-external-url-links	https://help.dropbox.com/share/dropbox-docsend-update-link-settings
signwell	SignWell	signwell.com	documents_storage	21	Chrome UX Report 2026-08: www.signwell.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'SignWell': popularity #396 of 9,716, zap_usage_count 472 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 62,722 for signwell.com (list 38KVL, 2026-09-11)	https://www.signwell.com/log_in/	deep	https://help.signwell.com/	https://help.signwell.com/article/241-using-the-business-plans-features	https://help.signwell.com/article/288-sending-documents-to-others
microsoft_powerpoint	Microsoft PowerPoint for the web	powerpoint.cloud.microsoft	documents_storage	22	Chrome UX Report 2026-08: powerpoint.cloud.microsoft in the top 50,000 origins (github.com/zakird/crux-top-lists); not listed on Zapier with a usage count (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 45 for cloud.microsoft (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://www.office.com/launch/powerpoint	deep	https://support.microsoft.com/en-us/powerpoint/	https://support.microsoft.com/en-us/powerpoint/training/add-speaker-notes-to-your-slides	https://support.microsoft.com/en-us/powerpoint/training/add-change-or-remove-transitions-between-slides
better_proposals	Better Proposals	betterproposals.io	documents_storage	23	Chrome UX Report 2026-08: betterproposals.io in the top 500,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Better Proposals': popularity #430 of 9,716, zap_usage_count 418 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 177,816 for betterproposals.io (list 38KVL, 2026-09-11)	https://betterproposals.io/2/login/	deep	https://help.betterproposals.io/en/	https://help.betterproposals.io/en/articles/1822515-adding-your-first-template	https://help.betterproposals.io/en/articles/1822516-sending-a-test-document
ironclad	Ironclad	ironcladapp.com	documents_storage	24	Chrome UX Report 2026-08: ironcladapp.com in the top 500,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Ironclad': popularity #1236 of 9,716, zap_usage_count 74 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 43,639 for ironcladapp.com (list 38KVL, 2026-09-11)	https://ironcladapp.com/signin	shallow			
trello	Trello	trello.com	project_tracking	1	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: trello.com in the top 5,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Trello': popularity #29 of 9,716, zap_usage_count 27,008 (zapier.com/api/v4/apps, 2026-09-12); Stack Overflow Developer Survey 2025, code documentation and collaboration tools: 'Trello' used by 13.7% of respondents (survey.stackoverflow.co/2025/technology); Tranco rank 1,817 for trello.com (list 38KVL, 2026-09-11)	https://id.atlassian.com/login?application=trello--direct-signup&continue=https%3A%2F%2Ftrello.com%2Fauth%2Fatlassian%2Fcallback	deep	https://support.atlassian.com/trello/	https://support.atlassian.com/trello/docs/creating-a-new-board/	https://support.atlassian.com/trello/docs/adding-people-to-a-board/
jira	Jira	atlassian.net	project_tracking	2	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: nubank.atlassian.net in the top 100,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Jira Software Cloud': popularity #79 of 9,716, zap_usage_count 7,206 (zapier.com/api/v4/apps, 2026-09-12); Stack Overflow Developer Survey 2025, code documentation and collaboration tools: 'Jira' used by 46.4% of respondents (survey.stackoverflow.co/2025/technology); Tranco rank 491 for atlassian.net (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://id.atlassian.com/login?continue=https%3A%2F%2Fwww.atlassian.com%2Fgateway%2Fapi%2Fstart%2Fauthredirect&application=wac--ic	deep	https://support.atlassian.com/jira-software-cloud/	https://support.atlassian.com/jira-software-cloud/docs/create-a-work-item-and-a-subtask/	https://support.atlassian.com/jira-software-cloud/docs/create-a-new-project/
todoist	Todoist	todoist.com	project_tracking	3	Chrome UX Report 2026-08: app.todoist.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Todoist': popularity #76 of 9,716, zap_usage_count 7,544 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 4,457 for todoist.com (list 38KVL, 2026-09-11)	https://www.todoist.com/auth/login	deep	https://www.todoist.com/help	https://www.todoist.com/help/todoist/billing/manage-your-todoist-business-subscription-OKOguwMW	https://www.todoist.com/help/todoist/billing/manage-your-todoist-pro-subscription-T4T0g9lb
smartsheet	Smartsheet	smartsheet.com	project_tracking	4	Chrome UX Report 2026-08: app.smartsheet.com in the top 10,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Smartsheet': popularity #126 of 9,716, zap_usage_count 2,931 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 3,515 for smartsheet.com (list 38KVL, 2026-09-11)	https://app.smartsheet.com/b/home	deep	https://help.smartsheet.com/categories	https://help.smartsheet.com/learning-track/workapps/add-pages-your-workapp	https://help.smartsheet.com/learning-track/workapps/add-roles-your-workapp
google_tasks	Google Tasks	tasks.google.com	project_tracking	5	Chrome UX Report 2026-08: tasks.google.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Google Tasks': popularity #51 of 9,716, zap_usage_count 12,740 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 1 for google.com (list 38KVL, 2026-09-11; a domain shared across products, so not used to rank this row)	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2Fu%2F0%2Fr%2Ftasks	deep	https://support.google.com/tasks/	https://support.google.com/tasks/answer/7675838?hl=en&ref_topic=7675628	https://support.google.com/tasks/answer/10478781?hl=en&ref_topic=7675628
monday	monday.com	monday.com	project_tracking	6	Chrome UX Report 2026-08: forms.monday.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'monday.com': popularity #34 of 9,716, zap_usage_count 18,346 (zapier.com/api/v4/apps, 2026-09-12); Stack Overflow Developer Survey 2025, code documentation and collaboration tools: 'Monday.com' used by 2.6% of respondents (survey.stackoverflow.co/2025/technology); Tranco rank 3,247 for monday.com (list 38KVL, 2026-09-11)	https://auth.monday.com/auth/login_monday/	deep	https://support.monday.com/hc/en-us	https://support.monday.com/hc/en-us/articles/360000219209-Import-files-from-Excel	https://support.monday.com/hc/en-us/articles/360000635139-The-Connect-Boards-Column
asana	Asana	asana.com	project_tracking	7	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: asana.com in the top 100,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Asana': popularity #37 of 9,716, zap_usage_count 18,007 (zapier.com/api/v4/apps, 2026-09-12); Stack Overflow Developer Survey 2025, code documentation and collaboration tools: 'Asana' used by 4.4% of respondents (survey.stackoverflow.co/2025/technology); Tranco rank 2,292 for asana.com (list 38KVL, 2026-09-11)	https://app.asana.com/-/login	shallow			
clickup	ClickUp	clickup.com	project_tracking	8	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: clickup.com in the top 100,000 origins (github.com/zakird/crux-top-lists); Zapier app 'ClickUp': popularity #40 of 9,716, zap_usage_count 15,536 (zapier.com/api/v4/apps, 2026-09-12); Stack Overflow Developer Survey 2025, code documentation and collaboration tools: 'Clickup' used by 3.9% of respondents (survey.stackoverflow.co/2025/technology); Tranco rank 2,558 for clickup.com (list 38KVL, 2026-09-11)	https://app.clickup.com/login	deep	https://help.clickup.com/hc/en-us	https://help.clickup.com/hc/en-us/articles/6310174308631-Export-List-and-Table-views	
linear	Linear	linear.app	project_tracking	9	founder-named (sonny-wave-7-features.md, Skills); Chrome UX Report 2026-08: linear.app in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Linear': popularity #130 of 9,716, zap_usage_count 2,753 (zapier.com/api/v4/apps, 2026-09-12); Stack Overflow Developer Survey 2025, code documentation and collaboration tools: 'Linear' used by 3.7% of respondents (survey.stackoverflow.co/2025/technology); Tranco rank 10,256 for linear.app (list 38KVL, 2026-09-11)	https://linear.app/login	deep	https://linear.app/docs	https://linear.app/docs/import-issues	https://linear.app/docs/configuring-workflows
basecamp	Basecamp	basecamp.com	project_tracking	10	Chrome UX Report 2026-08: 3.basecamp.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Basecamp': popularity #173 of 9,716, zap_usage_count 1,767 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 6,187 for basecamp.com (list 38KVL, 2026-09-11)	https://basecamp.com/login	deep	https://basecamp.com/help	https://5.basecamp-help.com/article/1176-creating-and-setting-up-a-project	https://5.basecamp-help.com/article/1060-inviting-people
podio	Podio	podio.com	project_tracking	11	Chrome UX Report 2026-08: podio.com in the top 50,000 origins (github.com/zakird/crux-top-lists); Zapier app 'Podio': popularity #201 of 9,716, zap_usage_count 1,381 (zapier.com/api/v4/apps, 2026-09-12); Tranco rank 15,927 for podio.com (list 38KVL, 2026-09-11)	https://podio.com/login	shallow			
